Study,Authors,Year (online),Year (print),Title,,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.var,ctrl.vartype,ctrl.sd,oa.n,oa.mean,oa.var,oa.vartype,oa.sd,lnRR,|lnRR|,Raw mean |lnRR|,Notes,Precise sample size description in text?,Sample size source
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2b)",Larvae,10,1.9720,3.6620,SD,3.6620,10,1.6900,8.4510,SD,8.4510,-0.1543,0.1543,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2b)",Larvae,10,3.0990,3.9440,SD,3.9440,10,5.0700,5.0700,SD,5.0700,0.4923,0.4923,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2b)",Larvae,10,3.0990,3.9440,SD,3.9440,10,5.0700,39.4370,SD,39.4370,0.4923,0.4923,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2b)",Larvae,10,3.0990,3.9440,SD,3.9440,10,85.6340,16.0560,SD,16.0560,3.3190,3.3190,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2b)",Larvae,17,1.9720,1.6900,SD,1.6900,10,6.4790,3.9440,SD,3.9440,1.1895,1.1895,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 700ppm (Fig 2b)",Larvae,17,1.9720,1.6900,SD,1.6900,10,63.0990,42.2540,SD,42.2540,3.4657,3.4657,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2b)",Larvae,17,1.9720,1.6900,SD,1.6900,17,91.8310,14.0850,SD,14.0850,3.8409,3.8409,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 550ppm (Fig 2b)",Larvae,20,1.6900,1.1270,SD,1.1270,10,4.1670,2.6040,SD,2.6040,0.9025,0.9025,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2b)",Larvae,20,1.6900,1.1270,SD,1.1270,109,48.4380,45.3120,SD,45.3120,3.3556,3.3556,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2b)",Larvae,20,1.6900,1.1270,SD,1.1270,20,93.2290,5.2080,SD,5.2080,4.0103,4.0103,,,,
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,Yes,Predator,"Prop time in prey cue, mid CO2",Adult,10,0.5900,0.0310,SE,0.0980,10,0.3980,0.0380,SE,0.1202,-0.3937,0.3937,0.4518,,Y,Provided in figure captions
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,,,Pseudochromis fuscus,Trop,Yes,Predator,"Prop time in prey cue, high CO2",Adult,10,0.5900,0.0310,SE,0.0980,14,0.4120,0.0380,SE,0.1422,-0.3591,0.3591,,,,
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,,,Pseudochromis fuscus,Trop,No,-,"Line crosses, mid CO2",Adult,10,140.0000,13.6590,SE,43.1936,8,143.4150,44.3900,SE,117.4449,0.0241,0.0241,,,,
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,,,Pseudochromis fuscus,Trop,No,-,"Line crosses, high CO2",Adult,10,140.0000,13.6590,SE,43.1936,7,269.7560,54.6340,SE,154.5283,0.6559,0.6559,,,,
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,,,Pseudochromis fuscus,Trop,No,-,"Response time, mid CO2",Adult,9,71.0780,23.2840,SE,73.6305,7,172.7940,36.7650,SE,97.2710,0.8883,0.8883,,,,
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,,,Pseudochromis fuscus,Trop,No,-,"Response time, high CO2",Adult,9,71.0780,23.2840,SE,73.6305,7,115.1960,37.9900,SE,100.5121,0.4829,0.4829,,,,
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish, ,PLoS One,4.092,2.766,,,Pseudochromis fuscus,Trop,No,-,"Distance from shelter, mid CO2",Adult,10,228.5710,40.4760,SE,127.9964,8,290.4760,109.5240,SE,289.7733,0.2397,0.2397,,,,
